comparison,baseline,variant,split,metric,method,n,full,ablation,delta,ci_lo,ci_hi,p,p_holm,sig
Full vs No Restaurant Context,full_model,no_temporal,warm,Hit@5,welch-t,5,0.2717988433241315,0.261958354672296,0.00984048865183551,0.0068582067329306835,0.012822770570740338,6.313290213219905e-05,0.0017045883575693744,True
Full vs No Restaurant Context,full_model,no_temporal,cold_restaurant,Hit@5,welch-t,5,0.08137326515704894,0.06705624543462382,0.01431701972242512,0.0006965333065298805,0.02793750613832036,0.04219079078743414,0.43287021795350855,False
Full vs No Restaurant Context,full_model,no_temporal,cold_user,Hit@5,welch-t,5,0.2921478060046189,0.29006928406466514,0.0020785219399537813,-0.009969068256197576,0.014126112136105139,0.6996084505787789,1.0,False
Full vs No Restaurant Context,full_model,no_temporal,warm,NDCG@10,welch-t,5,0.2311450224559907,0.2242511534327205,0.006893869023270188,0.004921291803125047,0.00886644624341533,4.141389345446105e-05,0.0012010029101793703,True
Full vs No Restaurant Context,full_model,no_temporal,cold_restaurant,NDCG@10,welch-t,5,0.0772450768431704,0.06503972869025504,0.012205348152915366,0.00013910492254411502,0.024271591383286616,0.04798144390588328,0.43287021795350855,False
Full vs No Restaurant Context,full_model,no_temporal,cold_user,NDCG@10,welch-t,5,0.2562515082212361,0.2514686927512354,0.004782815470000701,-0.006484163960717175,0.016049794900718575,0.3509709444074045,1.0,False
Full vs No Restaurant Content,full_model,no_restaurant_content,warm,Hit@5,welch-t,5,0.2717988433241315,0.25479096143997404,0.017007881884157472,0.012896978519649386,0.021118785248665558,3.355828049145753e-05,0.001006748414743726,True
Full vs No Restaurant Content,full_model,no_restaurant_content,cold_restaurant,Hit@5,welch-t,5,0.08137326515704894,0.08619430241051863,-0.00482103725346969,-0.01850013944594984,0.008858064939010457,0.38474555722931625,1.0,False
Full vs No Restaurant Content,full_model,no_restaurant_content,cold_user,Hit@5,welch-t,5,0.2921478060046189,0.29953810623556587,-0.0073903002309469445,-0.024454768284933218,0.009674167823039329,0.33980030721046894,1.0,False
Full vs No Restaurant Content,full_model,no_restaurant_content,warm,NDCG@10,welch-t,5,0.2311450224559907,0.21667604194293597,0.01446898051305473,0.010946470252736453,0.017991490773373007,7.301997878317907e-05,0.0018985194483626558,True
Full vs No Restaurant Content,full_model,no_restaurant_content,cold_restaurant,NDCG@10,welch-t,5,0.0772450768431704,0.07769335421904636,-0.0004482773758759523,-0.011488794003279257,0.010592239251527353,0.9159489087035345,1.0,False
Full vs No Restaurant Content,full_model,no_restaurant_content,cold_user,NDCG@10,welch-t,5,0.2562515082212361,0.26191409544239375,-0.0056625872211576445,-0.018055285786935837,0.006730111344620548,0.313935550137145,1.0,False
Full vs No User Context,full_model,no_user_context,warm,Hit@5,welch-t,5,0.2717988433241315,0.26404936482756036,0.007749478496571149,0.004878753040588647,0.010620203952553652,0.0002529596960246977,0.004806234224469256,True
Full vs No User Context,full_model,no_user_context,cold_restaurant,Hit@5,welch-t,5,0.08137326515704894,0.06676406135865595,0.014609203798392992,0.0009836434168488516,0.02823476417993713,0.039351837995773506,0.43287021795350855,False
Full vs No User Context,full_model,no_user_context,cold_user,Hit@5,welch-t,5,0.2921478060046189,0.25057736720554274,0.04157043879907618,0.028673372123165564,0.0544675054749868,7.414251731301149e-05,0.0018985194483626558,True
Full vs No User Context,full_model,no_user_context,warm,NDCG@10,welch-t,5,0.2311450224559907,0.22427098282783192,0.0068740396281587735,0.0046483467932411406,0.009099732463076406,0.00011625779104234673,0.002590984740665833,True
Full vs No User Context,full_model,no_user_context,cold_restaurant,NDCG@10,welch-t,5,0.0772450768431704,0.062379653319584706,0.014865423523585698,0.003343875243457934,0.026386971803713462,0.018309520806452696,0.21971424967743236,False
Full vs No User Context,full_model,no_user_context,cold_user,NDCG@10,welch-t,5,0.2562515082212361,0.21538065156820965,0.04087085665302645,0.033128934204608065,0.048612779101444833,1.051503530734365e-05,0.00035751120044968406,True
Full vs No User Content,full_model,no_user_content,warm,Hit@5,welch-t,5,0.2717988433241315,0.27477422336585183,-0.0029753800417203213,-0.006156107995225486,0.0002053479117848432,0.06299084203450703,0.4409358942415492,False
Full vs No User Content,full_model,no_user_content,cold_restaurant,Hit@5,welch-t,5,0.08137326515704894,0.032140248356464576,0.04923301680058437,0.035622482281678414,0.06284355131949032,0.00011265151046373187,0.002590984740665833,True
Full vs No User Content,full_model,no_user_content,cold_user,Hit@5,welch-t,5,0.2921478060046189,0.31778290993071595,-0.025635103926097025,-0.036815552285533217,-0.014454655566660833,0.0011916834517737905,0.02145030213192823,True
Full vs No User Content,full_model,no_user_content,warm,NDCG@10,welch-t,5,0.2311450224559907,0.23318375145480844,-0.0020387289988177404,-0.004038310415191733,-3.914758244374797e-05,0.04659820230104727,0.43287021795350855,False
